2017-11-20 16:28:06,673 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-20 16:28:06,690 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 1 minute
2017-11-20 16:28:06,690 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.013 seconds
2017-11-20 16:28:44,898 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-20 16:28:44,901 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:28:44,901 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-20 16:28:45,596 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-20 16:28:45,597 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-20 16:28:45,752 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-20 16:28:46,051 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-20 16:28:46,357 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-20 16:28:46,367 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:28:46,368 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-20 16:28:46,371 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.772 seconds
2017-11-20 16:28:46,416 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 456]
2017-11-20 16:28:46,421 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-20 16:28:46,421 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:28:46,422 | INFO | CamelTestSupport.java 391 | Took: 0.049 seconds (49 millis)
2017-11-20 16:28:46,422 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-20 16:28:46,432 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-20 16:28:46,450 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-20 16:28:47,429 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:28:47,432 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-20 16:28:47,454 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 1.858 seconds
2017-11-20 16:28:47,454 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.022 seconds
2017-11-20 16:29:40,251 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-20 16:29:40,254 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:29:40,255 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-20 16:29:40,954 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-20 16:29:40,955 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-20 16:29:41,060 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-20 16:29:41,263 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-20 16:29:41,546 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-20 16:29:41,556 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:29:41,557 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-20 16:29:41,559 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.603 seconds
2017-11-20 16:29:41,610 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 456]
2017-11-20 16:29:41,614 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-20 16:29:41,614 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:29:41,615 | INFO | CamelTestSupport.java 391 | Took: 0.054 seconds (54 millis)
2017-11-20 16:29:41,615 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-20 16:29:41,628 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-20 16:29:41,629 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-20 16:29:42,623 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:29:42,627 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-20 16:29:42,644 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 1.690 seconds
2017-11-20 16:29:42,644 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.016 seconds
2017-11-20 16:30:41,024 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-20 16:30:41,027 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:30:41,028 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-20 16:30:41,795 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-20 16:30:41,796 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-20 16:30:41,886 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-20 16:30:42,032 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-20 16:30:42,303 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-20 16:30:42,316 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:30:42,319 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-20 16:30:42,322 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.525 seconds
2017-11-20 16:30:42,364 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 456]
2017-11-20 16:30:42,367 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-20 16:30:42,367 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:30:42,368 | INFO | CamelTestSupport.java 391 | Took: 0.045 seconds (45 millis)
2017-11-20 16:30:42,368 | INFO | CamelTestSupport.java 420 | ********************************************************************************
